"Brand.Name","Generic.Name","Drug.Uses","key","Med_Cat","Med_Sub_Cat","Term_Matched"
"1ST TIER UNIFINE PENTIPS PLUS","PEN NEEDLE, DIABETIC","Diabetic Equipment","1ST TIER UNIFINE PENTIPS PLUS_PEN NEEDLE, DIABETIC","Endocrinology","Diabetes","diabetic"
"1ST TIER UNIFINE PENTIPS","PEN NEEDLE, DIABETIC","Diabetic Equipment","1ST TIER UNIFINE PENTIPS_PEN NEEDLE, DIABETIC","Endocrinology","Diabetes","diabetic"
"ABACAVIR-LAMIVUDINE-ZIDOVUDINE","ABACAVIR/LAMIVUDINE/ZIDOVUDINE","This product contains 3 drugs: abacavir, lamivudine, and zidovudine. It is used alone or with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir, lamivudine, and zidovudine all belong to a class of drugs known as nucleoside reverse transcriptase inhibitors (NRTIs). Abacavir/lamivudine/zidovudine is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, do all of the following: (1) continue to take all HIV medications exactly as prescribed by your doctor, (2) always use an effective barrier method (latex or polyurethane condoms/dental dams) during all sexual activity, and (3) do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details.","ABACAVIR-LAMIVUDINE-ZIDOVUDINE_ABACAVIR/LAMIVUDINE/ZIDOVUDINE","Infectious_Disease","HIV_AIDS","hiv"
"ABACAVIR-LAMIVUDINE","ABACAVIR SULFATE/LAMIVUDINE","This product contains 2 drugs: abacavir and lamivudine. It is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir and lamivudine both belong to a class of drugs known as nucleoside reverse transcriptase inhibitors (NRTIs). Abacavir/lamivudine is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, do all of the following: (1) continue to take all HIV medications exactly as prescribed by your doctor, (2) always use an effective barrier method (latex or polyurethane condoms/dental dams) during all sexual activity, and (3) do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details.","ABACAVIR-LAMIVUDINE_ABACAVIR SULFATE/LAMIVUDINE","Infectious_Disease","HIV_AIDS","hiv"
"ABACAVIR","ABACAVIR SULFATE","This drug is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir belongs to a class of drugs known as nucleoside reverse transcriptase inhibitors-NRTI. Abacavir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, do all of the following: (1) continue to take all HIV medications exactly as prescribed by your doctor, (2) always use an effective barrier method (latex or polyurethane condoms/dental dams) during all sexual activity, and (3) do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details.","ABACAVIR_ABACAVIR SULFATE","Infectious_Disease","HIV_AIDS","hiv"
"ABELCET","AMPHOTERICIN B LIPID COMPLEX","This medication is used to treat a variety of serious fungal infections. It is often used in patients who cannot tolerate or who do not respond to the regular amphotericin treatment. It works by stopping the growth of fungi.","ABELCET_AMPHOTERICIN B LIPID COMPLEX","Dermatology","Fungal_Skin","fungal infection"
"ABILIFY ASIMTUFII","ARIPIPRAZOLE","This medication is used to treat a certain mental/mood disorder (schizophrenia). Some brands of this medication are also used to treat bipolar disorder. Extended-release aripiprazole injection is a long-acting form of aripiprazole. Aripiprazole belongs to a class of drugs known as atypical antipsychotics. It works by helping to restore the balance of certain natural substances in the brain. This information does not contain any assurances that this product is safe, effective or appropriate for you.","ABILIFY ASIMTUFII_ARIPIPRAZOLE","Psychiatry","Mood_Disorders","bipolar"
"ABILIFY MAINTENA","ARIPIPRAZOLE","Extended-release aripiprazole injection is used to treat a mental/mood disorder called schizophrenia. This medication can decrease hallucinations (hearing/seeing things that are not there) and improve your concentration. It also helps you to think more clearly, feel less nervous, and take a more active part in everyday life. Extended-release aripiprazole injection is a long-acting psychiatric medication known as an atypical antipsychotic. It works by helping to restore the balance of certain natural substances in the brain.","ABILIFY MAINTENA_ARIPIPRAZOLE","Psychiatry","Psychotic_Disorders","schizophrenia"
"ABILIFY MYCITE","ARIPIPRAZOLE","This product is a combination of aripiprazole tablets and a patch. Each tablet has an embedded sensor, and the patch detects the signal from the tablet sensor. You will use it with a smartphone application (app). Your health care professional or caregiver will also be able to see data from the tablet sensor in a web-based portal. Aripiprazole is used to treat certain mental/mood disorders (such as bipolar disorder, schizophrenia, Tourette's syndrome, and irritability associated with autistic disorder). It may also be used in combination with other medication to treat depression. Aripiprazole is known as an antipsychotic drug (atypical type). It works by helping to restore the balance of certain natural chemicals in the brain (neurotransmitters). This medication can decrease hallucinations and improve your concentration. It helps you to think more clearly and positively about yourself, feel less nervous, and take a more active part in everyday life. Aripiprazole can treat severe mood swings and decrease how often mood swings occur.","ABILIFY MYCITE_ARIPIPRAZOLE","Psychiatry","Mood_Disorders","depression"
"ABILIFY","ARIPIPRAZOLE","Aripiprazole is used to treat certain mental/mood disorders (such as bipolar disorder, schizophrenia, Tourette's disorder, and irritability associated with autistic disorder). It may also be used in combination with other medication to treat depression. Aripiprazole is known as an antipsychotic drug (atypical type). It works by helping to restore the balance of certain natural chemicals in the brain (neurotransmitters). This medication can decrease hallucinations and improve your concentration. It helps you to think more clearly and positively about yourself, feel less nervous, and take a more active part in everyday life. Aripiprazole can treat severe mood swings and decrease how often mood swings occur.","ABILIFY_ARIPIPRAZOLE","Psychiatry","Mood_Disorders","depression"
